75	East Tennessee State	east-tennessee-state	http://www.sports-reference.com/cfb/schools/east-tennessee-state/	1979	1981	3	33	15	18	0	.455	0	0	0	0		-9.46	-8.43	0	0	
76	Eastern Michigan	eastern-michigan	http://www.sports-reference.com/cfb/schools/eastern-michigan/	1975	2015	41	452	134	311	7	.304	1	1	0	0	1.000	-15.50	-7.75	0	1	
77	Erskine	erskine	http://www.sports-reference.com/cfb/schools/erskine/	1919	1936	5	39	12	27	0	.308	0	0	0	0		-13.04	-5.98	0	0	
78	Florida	florida	http://www.sports-reference.com/cfb/schools/florida/	1904	2015	104	1101	668	396	37	.624	41	21	20	0	.512	8.74	4.32	29	9	
79	Florida A&M	florida-am	http://www.sports-reference.com/cfb/schools/florida-am/	2004	2004	1	11	3	8	0	.273	0	0	0	0		-21.65	-12.38	0	0	
80	Florida Atlantic	florida-atlantic	http://www.sports-reference.com/cfb/schools/florida-atlantic/	2004	2015	12	137	54	83	0	.394	2	2	0	0	1.000	-8.66	-3.06	0	1	
81	Florida International	florida-international	http://www.sports-reference.com/cfb/schools/florida-international/	2004	2015	12	135	42	93	0	.311	2	1	1	0	.500	-10.39	-4.53	0	1	
82	Florida State	florida-state	http://www.sports-reference.com/cfb/schools/florida-state/	1954	2015	62	723	490	217	16	.689	42	25	15	2	.619	11.90	4.20	31	15	W-L-T adjusted to 479-216-16 by NCAA.
83	Fordham	fordham	http://www.sports-reference.com/cfb/schools/fordham/	1909	1954	25	213	126	70	17	.631	2	1	1	0	.500	3.60	-1.08	6	0	
84	Fort Benning	fort-benning	http://www.sports-reference.com/cfb/schools/fort-benning/	1922	1922	1	10	5	5	0	.500	0	0	0	0		-6.13	-4.03	0	0	
85	Fort Riley	fort-riley	http://www.sports-reference.com/cfb/schools/fort-riley/	1943	1943	1	9	6	2	1	.722	0	0	0	0		10.37	1.81	0	0	
86	Fort Warren	fort-warren	http://www.sports-reference.com/cfb/schools/fort-warren/	1944	1944	1	10	5	4	1	.550	0	0	0	0		-4.13	-3.83	0	0	
87	Franklin & Marshall	franklin-marshall	http://www.sports-reference.com/cfb/schools/franklin-marshall/	1889	1904	7	62	24	31	7	.444	0	0	0	0		-6.68	-3.65	0	0	
88	Fresno State	fresno-state	http://www.sports-reference.com/cfb/schools/fresno-state/	1969	2015	47	557	325	228	4	.587	21	9	12	0	.429	-1.45	-4.95	2	11	W-L-T adjusted to 326-227-4 by NCAA.
89	Furman	furman	http://www.sports-reference.com/cfb/schools/furman/	1902	1981	61	605	297	280	28	.514	0	0	0	0		-6.16	-6.16	0	3	
90	George Washington	george-washington	http://www.sports-reference.com/cfb/schools/george-washington/	1908	1966	33	299	138	147	14	.485	1	1	0	0	1.000	-4.59	-4.24	1	0	
91	Georgetown	georgetown	http://www.sports-reference.com/cfb/schools/georgetown/	1902	1950	36	313	184	110	19	.618	2	0	2	0	.000	2.76	-2.44	1	0	
92	Georgia	georgia	http://www.sports-reference.com/cfb/schools/georgia/	1902	2015	112	1192	755	387	50	.654	50	28	19	3	.590	10.19	4.82	35	12	
93	Georgia Pre-Flight	georgia-pre-flight	http://www.sports-reference.com/cfb/schools/georgia-pre-flight/	1942	1943	2	15	12	2	1	.833	0	0	0	0		11.14	2.27	0	0	
94	Georgia Southern	georgia-southern	http://www.sports-reference.com/cfb/schools/georgia-southern/	2014	2015	2	16	12	4	0	.750	0	0	0	0		14.56	3.52	0	1	
95	Georgia State	georgia-state	http://www.sports-reference.com/cfb/schools/georgia-state/	2013	2015	3	27	2	25	0	.074	0	0	0	0		-13.13	-0.02	0	0	
96	Georgia Tech	georgia-tech	http://www.sports-reference.com/cfb/schools/georgia-tech/	1902	2015	114	1205	707	458	40	.603	43	24	19	0	.558	9.01	4.71	25	8	W-L-T adjusted to 706-458-40 by NCAA.
97	Gonzaga	gonzaga	http://www.sports-reference.com/cfb/schools/gonzaga/	1922	1941	16	141	67	63	11	.514	1	0	1	0	.000	-2.55	-4.15	0	0	
98	Grambling State	grambling-state	http://www.sports-reference.com/cfb/schools/grambling-state/	1977	1977	1	11	10	1	0	.909	0	0	0	0		6.73	-10.00	0	1	
99	Great Lakes Navy	great-lakes-navy	http://www.sports-reference.com/cfb/schools/great-lakes-navy/	1918	1945	5	55	39	11	5	.755	1	1	0	0	1.000	16.37	6.95	2	0	
100	Grinnell	grinnell	http://www.sports-reference.com/cfb/schools/grinnell/	1899	1936	26	218	90	110	18	.454	0	0	0	0		-6.97	-4.74	0	0	
101	Hamilton	hamilton	http://www.sports-reference.com/cfb/schools/hamilton/	1907	1907	1	5	1	4	0	.200	0	0	0	0		-10.59	3.81	0	0	
102	Hampden-Sydney	hampden-sydney	http://www.sports-reference.com/cfb/schools/hampden-sydney/	1922	1940	5	44	14	29	1	.330	0	0	0	0		-12.35	-6.01	0	0	
103	Hardin-Simmons	hardin-simmons	http://www.sports-reference.com/cfb/schools/hardin-simmons/	1939	1962	21	218	113	96	9	.539	6	4	2	0	.667	-5.41	-6.95	1	3	
104	Harvard	harvard	http://www.sports-reference.com/cfb/schools/harvard/	1875	1981	103	932	631	259	42	.700	1	1	0	0	1.000	4.20	-2.12	0	5	
105	Haskell	haskell	http://www.sports-reference.com/cfb/schools/haskell/	1902	1916	12	110	57	49	4	.536	0	0	0	0		-1.95	-2.36	0	0	
106	Haverford	haverford	http://www.sports-reference.com/cfb/schools/haverford/	1891	1891	1	6	0	6	0	.000	0	0	0	0		-23.89	-1.73	0	0	
107	Hawaii	hawaii	http://www.sports-reference.com/cfb/schools/hawaii/	1971	2015	43	514	263	245	6	.518	10	5	5	0	.500	-2.40	-2.58	2	4	
108	Holy Cross	holy-cross	http://www.sports-reference.com/cfb/schools/holy-cross/	1899	1981	53	524	264	233	27	.530	1	0	1	0	.000	-3.00	-4.37	5	0	
109	Houston	houston	http://www.sports-reference.com/cfb/schools/houston/	1949	2015	67	741	395	331	15	.543	23	10	12	1	.457	3.48	1.51	13	10	W-L-T adjusted to 395-331-14 by NCAA.
110	Idaho	idaho	http://www.sports-reference.com/cfb/schools/idaho/	1917	2015	73	705	245	444	16	.359	2	2	0	0	1.000	-8.31	-3.20	0	1	
111	Idaho State	idaho-state	http://www.sports-reference.com/cfb/schools/idaho-state/	1944	1944	1	9	4	5	0	.444	0	0	0	0		-11.65	-7.09	0	0	
112	Illinois	illinois	http://www.sports-reference.com/cfb/schools/illinois/	1892	2015	124	1193	585	559	49	.511	18	8	10	0	.444	6.58	5.42	13	15	
113	Illinois State	illinois-state	http://www.sports-reference.com/cfb/schools/illinois-state/	1975	1985	11	119	41	73	5	.366	0	0	0	0		-15.36	-11.09	0	0	
114	Indiana	indiana	http://www.sports-reference.com/cfb/schools/indiana/	1899	2015	117	1107	441	628	38	.416	9	3	6	0	.333	2.12	4.65	5	2	W-L-T adjusted to 442-627-38 by NCAA.
115	Indiana State	indiana-state	http://www.sports-reference.com/cfb/schools/indiana-state/	1975	1985	11	120	60	59	1	.504	0	0	0	0		-10.06	-9.71	0	0	
116	Iowa	iowa	http://www.sports-reference.com/cfb/schools/iowa/	1899	2015	117	1134	586	514	34	.532	28	14	13	1	.518	6.65	5.25	21	11	W-L-T adjusted to 587-513-34 by NCAA.
117	Iowa Pre-Flight	iowa-pre-flight	http://www.sports-reference.com/cfb/schools/iowa-pre-flight/	1942	1944	3	31	26	5	0	.839	0	0	0	0		18.05	5.72	2	0	
118	Iowa State	iowa-state	http://www.sports-reference.com/cfb/schools/iowa-state/	1895	2015	118	1151	490	616	45	.445	12	3	9	0	.250	0.01	1.39	2	2	W-L-T adjusted to 491-615-45 by NCAA.
119	Jackson State	jackson-state	http://www.sports-reference.com/cfb/schools/jackson-state/	1977	1977	1	11	8	3	0	.727	0	0	0	0		-1.31	-10.40	0	0	
120	Jacksonville Naval Air Station	jacksonville-naval-air-station	http://www.sports-reference.com/cfb/schools/jacksonville-naval-air-station/	1942	1942	1	12	9	3	0	.750	0	0	0	0		6.46	-3.13	0	0	
121	Kansas	kansas	http://www.sports-reference.com/cfb/schools/kansas/	1901	2015	115	1153	521	578	54	.475	12	6	6	0	.500	1.43	2.42	7	5	
122	Kansas State	kansas-state	http://www.sports-reference.com/cfb/schools/kansas-state/	1912	2015	104	1059	447	577	35	.439	18	7	11	0	.389	-0.39	1.96	13	3	W-L-T adjusted to 448-577-34 by NCAA.
123	Kent State	kent-state	http://www.sports-reference.com/cfb/schools/kent-state/	1962	2015	54	589	194	390	5	.334	2	0	2	0	.000	-12.44	-6.78	0	1	
124	Kentucky	kentucky	http://www.sports-reference.com/cfb/schools/kentucky/	1915	2015	100	1032	465	531	36	.468	15	8	7	0	.533	4.01	4.24	8	2	W-L-T adjusted to 466-530-36 by NCAA.
125	Knox	knox	http://www.sports-reference.com/cfb/schools/knox/	1899	1905	5	52	27	23	2	.538	0	0	0	0		-1.90	-3.67	0	0	
126	Lafayette	lafayette	http://www.sports-reference.com/cfb/schools/lafayette/	1882	1946	47	440	256	160	24	.609	0	0	0	0		1.01	-2.59	0	0	
127	Lake Forest	lake-forest	http://www.sports-reference.com/cfb/schools/lake-forest/	1893	1899	5	47	17	24	6	.426	0	0	0	0		-7.97	-3.29	0	0	
128	Lamar	lamar	http://www.sports-reference.com/cfb/schools/lamar/	1973	1981	9	97	33	60	4	.361	0	0	0	0		-12.77	-7.68	0	0	
129	Lawrence	lawrence	http://www.sports-reference.com/cfb/schools/lawrence/	1905	1905	1	10	7	3	0	.700	0	0	0	0		3.09	-1.91	0	0	
130	Lehigh	lehigh	http://www.sports-reference.com/cfb/schools/lehigh/	1884	1965	43	412	195	197	20	.498	0	0	0	0		-3.05	-2.51	0	0	
131	Lombard	lombard	http://www.sports-reference.com/cfb/schools/lombard/	1903	1903	1	8	5	3	0	.625	0	0	0	0		-2.35	-2.72	0	0	
132	Long Beach State	long-beach-state	http://www.sports-reference.com/cfb/schools/long-beach-state/	1969	1991	23	257	129	126	2	.506	1	0	0	1	.500	-7.67	-7.16	0	3	W-L-T adjusted to 130-125-2 by NCAA.
133	Louisiana State	louisiana-state	http://www.sports-reference.com/cfb/schools/louisiana-state/	1902	2015	111	1169	734	388	47	.648	46	23	22	1	.511	9.91	4.56	37	11	W-L-T adjusted to 736-386-47 by NCAA.
134	Louisiana Tech	louisiana-tech	http://www.sports-reference.com/cfb/schools/louisiana-tech/	1975	2015	35	398	198	193	7	.506	7	3	3	1	.500	-3.53	-3.88	0	4	W-L-T adjusted to 199-192-7 by NCAA.
135	Louisiana-Lafayette	louisiana-lafayette	http://www.sports-reference.com/cfb/schools/louisiana-lafayette/	1973	2015	43	479	205	269	5	.433	4	4	0	0	1.000	-9.06	-5.67	0	5	W-L-T adjusted to 206-268-5 by NCAA.
136	Louisiana-Monroe	louisiana-monroe	http://www.sports-reference.com/cfb/schools/louisiana-monroe/	1975	2015	29	324	119	203	2	.370	1	0	1	0	.000	-10.54	-4.88	0	1	
137	Louisville	louisville	http://www.sports-reference.com/cfb/schools/louisville/	1962	2015	54	607	323	277	7	.538	18	8	9	1	.472	-1.00	-2.09	10	8	W-L-T adjusted to 325-275-7 by NCAA.
138	Loyola (LA)	loyola-la	http://www.sports-reference.com/cfb/schools/loyola-la/	1934	1936	3	28	10	17	1	.375	0	0	0	0		-6.61	-3.13	0	0	
139	Loyola Marymount	loyola-marymount	http://www.sports-reference.com/cfb/schools/loyola-marymount/	1933	1951	13	127	66	57	4	.535	0	0	0	0		-2.09	-4.02	0	0	
140	Lubbock Field	lubbock-field	http://www.sports-reference.com/cfb/schools/lubbock-field/	1944	1944	1	9	5	4	0	.556	0	0	0	0		-1.45	-3.01	0	0	
141	Maine	maine	http://www.sports-reference.com/cfb/schools/maine/	1904	1905	2	16	8	7	1	.531	0	0	0	0		-1.90	-2.21	0	0	
142	Manhattan	manhattan	http://www.sports-reference.com/cfb/schools/manhattan/	1936	1942	7	63	30	31	2	.492	0	0	0	0		-0.84	0.07	0	0	
143	March Field	march-field	http://www.sports-reference.com/cfb/schools/march-field/	1943	1944	2	21	16	3	2	.810	0	0	0	0		5.33	-5.69	2	0	
144	Mare Island Marines	mare-island-marines	http://www.sports-reference.com/cfb/schools/mare-island-marines/	1917	1918	2	19	18	1	0	.947	2	1	1	0	.500	13.72	-5.57	0	0	
145	Marquette	marquette	http://www.sports-reference.com/cfb/schools/marquette/	1927	1960	34	306	131	160	15	.453	1	0	1	0	.000	-0.76	0.34	1	0	
146	Marshall	marshall	http://www.sports-reference.com/cfb/schools/marshall/	1962	2015	39	439	197	239	3	.452	11	9	2	0	.818	-8.65	-5.81	3	6	
147	Maryland	maryland	http://www.sports-reference.com/cfb/schools/maryland/	1917	2015	99	1048	541	477	30	.531	26	11	13	2	.462	2.66	1.71	18	11	
